序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
3351,第12门,別教位次門,卷6,四生貴住,阿阿,阿,施善,阿,施善,行,五方便具足住,第12门,升,,「阿阿」二字俱表施善。种性清净，按位渐进，故入五方便具足住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3352,第12门,別教位次門,卷6,四生貴住,阿彌,阿,施善,彌,戒善,行,六正心住,第12门,升,,「阿」表施善、「彌」表戒善。种性清净，按位渐进，故入六正心住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3353,第12门,別教位次門,卷6,四生貴住,阿陀,阿,施善,陀,定善,行,七不退住,第12门,升,,「阿」表施善、「陀」表定善。种性清净，按位渐进，故入七不退住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3354,第12门,別教位次門,卷6,四生貴住,阿佛,阿,施善,佛,无漏善慧,行,四無盡行,第12门,升,,「阿」表施善、「佛」表无漏善慧。亦得渐超，故阶四无尽行。,手工逐组（门1–14 手写）,承注,,阿佛亦得漸超。故階初行。,《選佛譜》卷第六・初發心住・L57,初發心住
3355,第12门,別教位次門,卷6,四生貴住,彌彌,彌,戒善,彌,戒善,行,七不退住,第12门,升,,「彌彌」二字俱表戒善。种性清净，按位渐进，故入七不退住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3356,第12门,別教位次門,卷6,四生貴住,彌陀,彌,戒善,陀,定善,行,八童真住,第12门,升,,「彌」表戒善、「陀」表定善。种性清净，按位渐进，故入八童真住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3357,第12门,別教位次門,卷6,四生貴住,彌佛,彌,戒善,佛,无漏善慧,行,圓十信位,第13门,升,,「彌」表戒善、「佛」表无漏善慧。按位可接，故成圆十信位。,手工逐组（门1–14 手写）,承注,,彌佛按位可接。故成圓信。,《選佛譜》卷第六・初發心住・L57,初發心住
3358,第12门,別教位次門,卷6,四生貴住,陀陀,陀,定善,陀,定善,行,九法王子住,第12门,升,,「陀陀」二字俱表定善。种性清净，按位渐进，故入九法王子住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3359,第12门,別教位次門,卷6,四生貴住,陀佛,陀,定善,佛,无漏善慧,行,方便有餘淨土,第14门,横超,,「陀」表定善、「佛」表无漏善慧。归方便净，永离退缘，故生方便有余净土。,手工逐组（门1–14 手写）,承注,,陀佛歸方便淨。永離退緣。,《選佛譜》卷第六・初發心住・L57,初發心住
3360,第12门,別教位次門,卷6,四生貴住,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十住位,第13门,升,,「佛佛」二字俱表无漏善慧。开粗显妙，亦是胜进接，故入圆十住位。,手工逐组（门1–14 手写）,承注,,佛佛開麤顯妙。亦是勝進接也。,《選佛譜》卷第六・初發心住・L57,初發心住
3361,第12门,別教位次門,卷6,五方便具足住,那那,那,见烦恼,那,见烦恼,行,無生懺,第6门,降,,「那那」二字俱表见烦恼。六住已前烦惑未尽，犹有退转义，故须修无生忏。,手工逐组（门1–14 手写）,承注,,是故六住已前。煩惑未盡。猶得有退轉義。那那須修無生懺也。,《選佛譜》卷第六・初發心住・L57,初發心住
3362,第12门,別教位次門,卷6,五方便具足住,那謨,那,见烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「那」表见烦恼、「謨」表爱烦恼。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,推演,,於定心中。如次修行三十七品。令其調適。能伏煩惱。名不退心。然猶未證三種不退。但較前五心稍堅固耳。故那謨相雜。雖可不行。,《選佛譜》卷第六・六不退心・L37,六不退心
3363,第12门,別教位次門,卷6,五方便具足住,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3364,第12门,別教位次門,卷6,五方便具足住,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3365,第12门,別教位次門,卷6,五方便具足住,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3366,第12门,別教位次門,卷6,五方便具足住,那佛,那,见烦恼,佛,无漏善慧,行,九法王子住,第12门,升,,「那」表见烦恼、「佛」表无漏善慧。准位应同阿那含果，按位渐进，入九法王子住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3367,第12门,別教位次門,卷6,五方便具足住,謨謨,謨,爱烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「謨謨」二字俱表爱烦恼。此位多习无量善根，故不行。,手工逐组（门1–14 手写）,推演,,"菩薩於多劫中。修行信心。已得成就。能斷分別我見。及從分別所起惡煩惱業。創見真空寂滅之理。
良由菩薩化物心重。自行則輕。不務斷結。從十信心。即便出假。既出假後遇大違緣。則分別心生。退菩提願。如舍利弗。往昔已曾得六住心。由婆羅門乞眼因緣。捨其大願。還趨小果。","《選佛譜》卷第六・初發心住・L57
《選佛譜》卷第六・初發心住・L57",初發心住
3368,第12门,別教位次門,卷6,五方便具足住,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3369,第12门,別教位次門,卷6,五方便具足住,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3370,第12门,別教位次門,卷6,五方便具足住,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3371,第12门,別教位次門,卷6,五方便具足住,謨佛,謨,爱烦恼,佛,无漏善慧,行,十灌頂住,第12门,升,,「謨」表爱烦恼、「佛」表无漏善慧。准位应同阿那含果，按位渐进，入十灌顶住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3372,第12门,別教位次門,卷6,五方便具足住,阿阿,阿,施善,阿,施善,行,六正心住,第12门,升,,「阿阿」二字俱表施善。多习无量善根，按位渐进，故入六正心住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3373,第12门,別教位次門,卷6,五方便具足住,阿彌,阿,施善,彌,戒善,行,七不退住,第12门,升,,「阿」表施善、「彌」表戒善。多习无量善根，按位渐进，故入七不退住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3374,第12门,別教位次門,卷6,五方便具足住,阿陀,阿,施善,陀,定善,行,八童真住,第12门,升,,「阿」表施善、「陀」表定善。多习无量善根，按位渐进，故入八童真住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3375,第12门,別教位次門,卷6,五方便具足住,阿佛,阿,施善,佛,无漏善慧,行,五離癡亂行,第12门,升,,「阿」表施善、「佛」表无漏善慧。亦得渐超，故阶五离痴乱行。,手工逐组（门1–14 手写）,承注,,阿佛亦得漸超。故階初行。,《選佛譜》卷第六・初發心住・L57,初發心住
3376,第12门,別教位次門,卷6,五方便具足住,彌彌,彌,戒善,彌,戒善,行,八童真住,第12门,升,,「彌彌」二字俱表戒善。多习无量善根，按位渐进，故入八童真住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3377,第12门,別教位次門,卷6,五方便具足住,彌陀,彌,戒善,陀,定善,行,九法王子住,第12门,升,,「彌」表戒善、「陀」表定善。多习无量善根，按位渐进，入九法王子住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3378,第12门,別教位次門,卷6,五方便具足住,彌佛,彌,戒善,佛,无漏善慧,行,圓十信位,第13门,升,,「彌」表戒善、「佛」表无漏善慧。按位可接，故成圆十信位。,手工逐组（门1–14 手写）,承注,,彌佛按位可接。故成圓信。,《選佛譜》卷第六・初發心住・L57,初發心住
3379,第12门,別教位次門,卷6,五方便具足住,陀陀,陀,定善,陀,定善,行,十灌頂住,第12门,升,,「陀陀」二字俱表定善。多习无量善根，按位渐进，故入十灌顶住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3380,第12门,別教位次門,卷6,五方便具足住,陀佛,陀,定善,佛,无漏善慧,行,方便有餘淨土,第14门,横超,,「陀」表定善、「佛」表无漏善慧。归方便净，永离退缘，故生方便有余净土。,手工逐组（门1–14 手写）,承注,,陀佛歸方便淨。永離退緣。,《選佛譜》卷第六・初發心住・L57,初發心住
3381,第12门,別教位次門,卷6,五方便具足住,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十住位,第13门,升,,「佛佛」二字俱表无漏善慧。开粗显妙，亦是胜进接，故入圆十住位。,手工逐组（门1–14 手写）,承注,,佛佛開麤顯妙。亦是勝進接也。,《選佛譜》卷第六・初發心住・L57,初發心住
3382,第12门,別教位次門,卷6,六正心住,那那,那,见烦恼,那,见烦恼,行,無生懺,第6门,降,,「那那」二字俱表见烦恼。六住已前烦惑未尽，犹有退转义，故须修无生忏。,手工逐组（门1–14 手写）,承注,,是故六住已前。煩惑未盡。猶得有退轉義。那那須修無生懺也。,《選佛譜》卷第六・初發心住・L57,初發心住
3383,第12门,別教位次門,卷6,六正心住,那謨,那,见烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「那」表见烦恼、「謨」表爱烦恼。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,推演,,於定心中。如次修行三十七品。令其調適。能伏煩惱。名不退心。然猶未證三種不退。但較前五心稍堅固耳。故那謨相雜。雖可不行。,《選佛譜》卷第六・六不退心・L37,六不退心
3384,第12门,別教位次門,卷6,六正心住,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3385,第12门,別教位次門,卷6,六正心住,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3386,第12门,別教位次門,卷6,六正心住,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3387,第12门,別教位次門,卷6,六正心住,那佛,那,见烦恼,佛,无漏善慧,行,十灌頂住,第12门,升,,「那」表见烦恼、「佛」表无漏善慧。准位应同阿罗汉向，按位渐进，故入十灌顶住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3388,第12门,別教位次門,卷6,六正心住,謨謨,謨,爱烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「謨謨」二字俱表爱烦恼。此位成就第六般若法门，故不行。,手工逐组（门1–14 手写）,推演,,"菩薩於多劫中。修行信心。已得成就。能斷分別我見。及從分別所起惡煩惱業。創見真空寂滅之理。
良由菩薩化物心重。自行則輕。不務斷結。從十信心。即便出假。既出假後遇大違緣。則分別心生。退菩提願。如舍利弗。往昔已曾得六住心。由婆羅門乞眼因緣。捨其大願。還趨小果。","《選佛譜》卷第六・初發心住・L57
《選佛譜》卷第六・初發心住・L57",初發心住
3389,第12门,別教位次門,卷6,六正心住,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3390,第12门,別教位次門,卷6,六正心住,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3391,第12门,別教位次門,卷6,六正心住,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3392,第12门,別教位次門,卷6,六正心住,謨佛,謨,爱烦恼,佛,无漏善慧,行,初歡喜行,第12门,升,,「謨」表爱烦恼、「佛」表无漏善慧。准位应同阿罗汉向，按位渐进，故入初欢喜行。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3393,第12门,別教位次門,卷6,六正心住,阿阿,阿,施善,阿,施善,行,七不退住,第12门,升,,「阿阿」二字俱表施善。成就第六般若法门，按位渐进，入七不退住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3394,第12门,別教位次門,卷6,六正心住,阿彌,阿,施善,彌,戒善,行,八童真住,第12门,升,,「阿」表施善、「彌」表戒善。成就第六般若法门，按位渐进，入八童真住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3395,第12门,別教位次門,卷6,六正心住,阿陀,阿,施善,陀,定善,行,九法王子住,第12门,升,,「阿」表施善、「陀」表定善。成就第六般若法门，按位渐进，入九法王子住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3396,第12门,別教位次門,卷6,六正心住,阿佛,阿,施善,佛,无漏善慧,行,六善現行,第12门,升,,「阿」表施善、「佛」表无漏善慧。亦得渐超，故阶六善现行。,手工逐组（门1–14 手写）,承注,,阿佛亦得漸超。故階初行。,《選佛譜》卷第六・初發心住・L57,初發心住
3397,第12门,別教位次門,卷6,六正心住,彌彌,彌,戒善,彌,戒善,行,九法王子住,第12门,升,,「彌彌」二字俱表戒善。成就第六般若法门，按位渐进，入九法王子住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3398,第12门,別教位次門,卷6,六正心住,彌陀,彌,戒善,陀,定善,行,十灌頂住,第12门,升,,「彌」表戒善、「陀」表定善。成就第六般若法门，按位渐进，入十灌顶住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3399,第12门,別教位次門,卷6,六正心住,彌佛,彌,戒善,佛,无漏善慧,行,圓十信位,第13门,升,,「彌」表戒善、「佛」表无漏善慧。按位可接，故成圆十信位。,手工逐组（门1–14 手写）,承注,,彌佛按位可接。故成圓信。,《選佛譜》卷第六・初發心住・L57,初發心住
3400,第12门,別教位次門,卷6,六正心住,陀陀,陀,定善,陀,定善,行,初歡喜行,第12门,升,,「陀陀」二字俱表定善。成就第六般若法门，按位渐进，入初欢喜行。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3401,第12门,別教位次門,卷6,六正心住,陀佛,陀,定善,佛,无漏善慧,行,方便有餘淨土,第14门,横超,,「陀」表定善、「佛」表无漏善慧。归方便净，永离退缘，故生方便有余净土。,手工逐组（门1–14 手写）,承注,,陀佛歸方便淨。永離退緣。,《選佛譜》卷第六・初發心住・L57,初發心住
3402,第12门,別教位次門,卷6,六正心住,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十住位,第13门,升,,「佛佛」二字俱表无漏善慧。开粗显妙，亦是胜进接，故入圆十住位。,手工逐组（门1–14 手写）,承注,,佛佛開麤顯妙。亦是勝進接也。,《選佛譜》卷第六・初發心住・L57,初發心住
3403,第12门,別教位次門,卷6,七不退住,那那,那,见烦恼,那,见烦恼,不行·安住本位,,,安住,,「那那」二字俱表见烦恼。此位入于无生毕竟空界，故不行。,手工逐组（门1–14 手写）,推演,,"是故六住已前。煩惑未盡。猶得有退轉義。那那須修無生懺也。
入於無生畢竟空界。名不退住。准位應同阿羅漢果。已辦地也。","《選佛譜》卷第六・初發心住・L57
《選佛譜》卷第六・七不退住・L81",初發心住、七不退住
3404,第12门,別教位次門,卷6,七不退住,那謨,那,见烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「那」表见烦恼、「謨」表爱烦恼。此位入于无生毕竟空界，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,推演,,於定心中。如次修行三十七品。令其調適。能伏煩惱。名不退心。然猶未證三種不退。但較前五心稍堅固耳。故那謨相雜。雖可不行。,《選佛譜》卷第六・六不退心・L37,六不退心
3405,第12门,別教位次門,卷6,七不退住,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。此位入于无生毕竟空界，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3406,第12门,別教位次門,卷6,七不退住,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。此位入于无生毕竟空界，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3407,第12门,別教位次門,卷6,七不退住,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。此位入于无生毕竟空界，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3408,第12门,別教位次門,卷6,七不退住,那佛,那,见烦恼,佛,无漏善慧,行,初歡喜行,第12门,升,,「那」表见烦恼、「佛」表无漏善慧。准位应同阿罗汉果，按位渐进，故入初欢喜行。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3409,第12门,別教位次門,卷6,七不退住,謨謨,謨,爱烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「謨謨」二字俱表爱烦恼。此位入于无生毕竟空界，故不行。,手工逐组（门1–14 手写）,推演,,"菩薩於多劫中。修行信心。已得成就。能斷分別我見。及從分別所起惡煩惱業。創見真空寂滅之理。
良由菩薩化物心重。自行則輕。不務斷結。從十信心。即便出假。既出假後遇大違緣。則分別心生。退菩提願。如舍利弗。往昔已曾得六住心。由婆羅門乞眼因緣。捨其大願。還趨小果。","《選佛譜》卷第六・初發心住・L57
《選佛譜》卷第六・初發心住・L57",初發心住
3410,第12门,別教位次門,卷6,七不退住,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。此位入于无生毕竟空界，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3411,第12门,別教位次門,卷6,七不退住,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。此位入于无生毕竟空界，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3412,第12门,別教位次門,卷6,七不退住,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。此位入于无生毕竟空界，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3413,第12门,別教位次門,卷6,七不退住,謨佛,謨,爱烦恼,佛,无漏善慧,行,二饒益行,第12门,升,,「謨」表爱烦恼、「佛」表无漏善慧。准位应同阿罗汉果，按位渐进，故入二饶益行。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3414,第12门,別教位次門,卷6,七不退住,阿阿,阿,施善,阿,施善,行,八童真住,第12门,升,,「阿阿」二字俱表施善。入于无生毕竟空界，按位渐进，故入八童真住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3415,第12门,別教位次門,卷6,七不退住,阿彌,阿,施善,彌,戒善,行,九法王子住,第12门,升,,「阿」表施善、「彌」表戒善。入于无生毕竟空界，按位渐进，入九法王子住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3416,第12门,別教位次門,卷6,七不退住,阿陀,阿,施善,陀,定善,行,十灌頂住,第12门,升,,「阿」表施善、「陀」表定善。入于无生毕竟空界，按位渐进，故入十灌顶住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3417,第12门,別教位次門,卷6,七不退住,阿佛,阿,施善,佛,无漏善慧,行,七無著行,第12门,升,,「阿」表施善、「佛」表无漏善慧。亦得渐超，故阶七无著行。,手工逐组（门1–14 手写）,承注,,阿佛亦得漸超。故階初行。,《選佛譜》卷第六・初發心住・L57,初發心住
3418,第12门,別教位次門,卷6,七不退住,彌彌,彌,戒善,彌,戒善,行,十灌頂住,第12门,升,,「彌彌」二字俱表戒善。入于无生毕竟空界，按位渐进，故入十灌顶住。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3419,第12门,別教位次門,卷6,七不退住,彌陀,彌,戒善,陀,定善,行,初歡喜行,第12门,升,,「彌」表戒善、「陀」表定善。入于无生毕竟空界，按位渐进，故入初欢喜行。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3420,第12门,別教位次門,卷6,七不退住,彌佛,彌,戒善,佛,无漏善慧,行,圓十信位,第13门,升,,「彌」表戒善、「佛」表无漏善慧。按位可接，故成圆十信位。,手工逐组（门1–14 手写）,承注,,彌佛按位可接。故成圓信。,《選佛譜》卷第六・初發心住・L57,初發心住
3421,第12门,別教位次門,卷6,七不退住,陀陀,陀,定善,陀,定善,行,二饒益行,第12门,升,,「陀陀」二字俱表定善。入于无生毕竟空界，按位渐进，故入二饶益行。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
3422,第12门,別教位次門,卷6,七不退住,陀佛,陀,定善,佛,无漏善慧,行,方便有餘淨土,第14门,横超,,「陀」表定善、「佛」表无漏善慧。归方便净，永离退缘，故生方便有余净土。,手工逐组（门1–14 手写）,承注,,陀佛歸方便淨。永離退緣。,《選佛譜》卷第六・初發心住・L57,初發心住
3423,第12门,別教位次門,卷6,七不退住,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓十住位,第13门,升,,「佛佛」二字俱表无漏善慧。开粗显妙，亦是胜进接，故入圆十住位。,手工逐组（门1–14 手写）,承注,,佛佛開麤顯妙。亦是勝進接也。,《選佛譜》卷第六・初發心住・L57,初發心住
3424,第12门,別教位次門,卷6,八童真住,那那,那,见烦恼,那,见烦恼,不行·安住本位,,,安住,,「那那」二字俱表见烦恼。此位不以邪倒破菩提心，故不行。,手工逐组（门1–14 手写）,推演,,"是故六住已前。煩惑未盡。猶得有退轉義。那那須修無生懺也。
入於無生畢竟空界。名不退住。准位應同阿羅漢果。已辦地也。","《選佛譜》卷第六・初發心住・L57
《選佛譜》卷第六・七不退住・L81",初發心住、七不退住
3425,第12门,別教位次門,卷6,八童真住,那謨,那,见烦恼,謨,爱烦恼,不行·安住本位,,,安住,,「那」表见烦恼、「謨」表爱烦恼。此位不以邪倒破菩提心，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,推演,,於定心中。如次修行三十七品。令其調適。能伏煩惱。名不退心。然猶未證三種不退。但較前五心稍堅固耳。故那謨相雜。雖可不行。,《選佛譜》卷第六・六不退心・L37,六不退心
3426,第12门,別教位次門,卷6,八童真住,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。此位不以邪倒破菩提心，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3427,第12门,別教位次門,卷6,八童真住,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。此位不以邪倒破菩提心，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3428,第12门,別教位次門,卷6,八童真住,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。此位不以邪倒破菩提心，烦恼不复现起，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
3429,第12门,別教位次門,卷6,八童真住,那佛,那,见烦恼,佛,无漏善慧,行,二饒益行,第12门,升,,「那」表见烦恼、「佛」表无漏善慧。准位应同辟支佛地，能侵习，故入二饶益行。,手工逐组（门1–14 手写）,承注,,阿阿等八。按位漸進。如常可知。,《選佛譜》卷第六・初發心住・L57,初發心住
